epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,26543.1,0.38335,0.26124,0.93998,0.93176,0.92236,0.942,0.9023,0.29737,0.2725,0.84453,0.001156,0.001156,0.001156
136,26739.2,0.38637,0.26271,0.94081,0.93339,0.92188,0.94183,0.9024,0.29704,0.27372,0.84455,0.00109,0.00109,0.00109
137,26935.5,0.37475,0.25715,0.93467,0.93118,0.92359,0.94193,0.90217,0.29638,0.27424,0.84432,0.001024,0.001024,0.001024
138,27131.9,0.36863,0.25248,0.9324,0.93012,0.92367,0.94183,0.90267,0.29601,0.27474,0.84404,0.000958,0.000958,0.000958
139,27328.4,0.36984,0.25354,0.93517,0.92927,0.92368,0.94159,0.90216,0.29596,0.27558,0.84423,0.000892,0.000892,0.000892
140,27524.6,0.36881,0.24832,0.93478,0.92854,0.92509,0.94121,0.90246,0.29566,0.27614,0.84418,0.000826,0.000826,0.000826
141,27732.5,0.25765,0.16404,0.83592,0.92866,0.92374,0.9411,0.90249,0.29529,0.27624,0.84417,0.00076,0.00076,0.00076
142,27928.9,0.24875,0.16066,0.8326,0.92843,0.92509,0.94086,0.90228,0.29477,0.27658,0.84411,0.000694,0.000694,0.000694
143,28124.9,0.24433,0.15801,0.82844,0.92649,0.92288,0.9408,0.90261,0.29409,0.27691,0.84392,0.000628,0.000628,0.000628
144,28321.3,0.24054,0.15415,0.82249,0.92503,0.92508,0.94078,0.90303,0.29361,0.27737,0.84386,0.000562,0.000562,0.000562
145,28517.6,0.2381,0.15138,0.82595,0.92336,0.92577,0.94072,0.90313,0.29304,0.27758,0.84374,0.000496,0.000496,0.000496
146,28714.1,0.2354,0.1489,0.82587,0.92714,0.9208,0.94074,0.90323,0.29245,0.27776,0.84361,0.00043,0.00043,0.00043
147,28910.2,0.23268,0.1482,0.82506,0.92902,0.92006,0.94071,0.9033,0.29198,0.27811,0.84347,0.000364,0.000364,0.000364
148,29108.9,0.22854,0.14472,0.82572,0.93103,0.91999,0.94078,0.90287,0.29144,0.27835,0.84332,0.000298,0.000298,0.000298
149,29307.4,0.22378,0.14122,0.82114,0.9325,0.91808,0.94098,0.9032,0.29111,0.27927,0.8434,0.000232,0.000232,0.000232
150,29506.3,0.22344,0.14041,0.81996,0.93221,0.91707,0.94109,0.90357,0.29074,0.27976,0.84335,0.000166,0.000166,0.000166
